user_id,FD12_words,FD14_words,FD16_words,ref_dat_score
eb560e98-13f8-488c-bc0e-72f6d4b733e7,"['Europe', 'Dinosaur', 'seals', 'monster', 'pigs', 'person', 'face', 'nothing', 'creature', 'afro']","['Alien', 'human', 'cupid', 'bird', 'jockey', 'pony', 'creature', 'hamster', 'australia']","['seahorse', 'islands', 'island', 'dragon', 'donkey', 'scattered', 'creature', 'babies', 'horse']",77.55199028622536
adf8a551-e75e-42bc-8554-3569bbb06626,"['peninsula', 'sea', 'inlet', 'islands', 'coves', 'ocean', 'frog', 'atolls', 'isthmus', 'ocean straight', 'face', 'river', 'island', 'land', 'india', 'australia', 'torso', 'icing', 'bone']","['islands', 'arms', 'mouth', 'toes', 'inlets', 'bay', 'land', 'seas', 'ocean', 'coastline', 'water', 'hide', 'cloud', 'coast', 'clown', 'powder', 'lakes', 'clouds']","['ink', 'clouds', 'land', 'ocean', 'lakes', 'water', 'cloud', 'fire', 'ice', 'islands']",81.30645728891804
28e363a1-974f-485f-bf5a-8a34e0836e70,"['abstract blob', 'face', 'nothing', 'fish', 'shoulders', 'vortex', 'bears', 'man', 'person', 'map']","['Map', 'Inverted', 'map', 'face', 'boar', 'crab', 'skull', 'elephants', 'camel', 'kangaroo']","['person', 'clouds', 'map', 'nothing', 'well', 'skeleton', 'skull', 'dragon', 'seahorse', 'lion']",89.65344888468583
3e601fc9-d8b9-4574-98f7-6dd9a63961ad,"['phallus', 'lake', 'archipelago', 'allosaur', 'girl', 'dress', 'nurse']","['rabbit', 'kangaroo', 'triceratops', 'dust', 'hainan', 'statue', 'dodo']","['frog', 'smoke', 'hedgehog', 'pacman', 'polecat', 'paw', 'bear', 'moose', 'ghost', 'wallpaper', 'bison', 'audience', 'anubis', 'lungs', 'elephant', 'phalling', 'indonesia', 'coastline', 'dog']",94.47455019468353
aa9713b0-1744-43c3-a09f-352e6145db6f,[],"['country', 'map', 'sea', 'land', 'europe', 'australia']",[],80.28264131973542
0b569a7d-7df7-4042-a40d-d2d51f0884a4,"['africa', 'person', 'monkey']","['woman', 'pinch']",['ditto'],94.89163010758126
d44451c9-9a06-469f-ac8b-7c7dee6ffdd8,"['man', 'elephant', 'face', 'dinosaur', 'kissing']","['island', 'bunny', 'hand', 'bird', 'dinosaur', 'dog thinking', 'chicken sitting', 'baby hand reach', 'elephant', 'fish', 'bearded man', 'angry fish', 'caterpillar']","['dog', 'seahorse', 'horse', 'garaiff', 'crocodile', 'tree stump', 'bird', 'face']",77.90888258300367
6e109e36-9734-48f9-8b9f-cdabf8f3c591,"['map', 'Australia', 'bulldog', 'woman', 'chicken']","['?', 'nothing', 'kiss', 'giraffe', 'child', 'female']","['mess', 'girl', 'shaking', 'cat', 'claws', 'elderly', 'person']",90.33276952603566
009c0d0e-20c0-4339-90f2-0bdf1fb761c6,"['island', 'nothing', 'puppet', 'woman', 'valley', 'map']","['map', 'nothing']","['clouds', 'nothing', 'map']",78.56020075934273
325294fe-20ab-495e-88a4-ed6a3d962352,"['dog', 'man', 'people', 'teacher', 'waiting', 'insect', 'person', 'floating', 'horse', 'winner']","['baby elephant', 'world map', 'dancing', 'dog', 'mediterranen', 'inland', 'ice', 'father']","['path', 'duck', 'group', 'scattered', 'clouds', 'water', 'dragon', 'movement', 'burnt']",79.60323288238475
d3be03fb-6e86-4bc7-ad55-d851295d3674,"['MASSACHUSETTS', 'FACE', 'DOG', 'PERSON', 'RHINO', 'CONTINENTS', 'OSTRICH']","['FACE', 'SEAHORSE', 'WOMANS FACE', 'PERSON', 'ELEPHANT', 'DONKEY', 'RAT', 'TAIL']","['DOG', 'FACE', 'RAT', 'BOOT', 'HORNET', 'JESTER', 'DRAGON']",87.02551729067983
06fb6a5b-7262-4727-b42e-8f908f42d93e,"['map', 'Mr Punch']","['island', 'kangaroo', 'whale']","['clouds', 'dog']",
cf0a2957-74b9-472d-ad9c-4bb6f344fc37,"['bear', 'fish']",['face'],[],76.20961009746506
01965ade-fabe-430d-adba-2aa1d892d62d,"['Nohing!', 'Crimea', 'Ghostbusters ghost', 'Nothing!', 'Head', 'General de Gaul', 'Antarctica', '?', 'Dogs']","['Map', 'Nothing', 'Cat in the Hat character', 'Nothing!', 'Hen', 'map']","['Map', 'Fractals', 'Paint', 'Paint splatter']",86.45604529551098
61cb5b4e-1154-46f6-b320-f2cf62acee7d,"['cat', 'countries', 'eggtimer', 'tornado', 'bomb', 'waiter', 'lizards', 'handshake', 'woman', 'course', 'alien', 'quiff', 'rabbit', 'caterpillar', 'horse', 'beanbag', 'People', 'teddy', 'poseidon', 'aliens', 'puppies', 'pig', 'vomit', 'boot']","['blobs', 'parcel', 'laundry', 'paint', 'slug', 'burger', 'microphone', 'sheep', 'nothing', 'demon', 'rabbit']","['monster', 'earth', 'fractal', 'snowflakes', 'Europe', 'cow', 'nothing', 'woman', 'puppet', 'dog']",87.95249462127686
c324a18d-49e5-41ef-a28c-8a8dfc25dcbe,"['face', 'grinch', 'bison', 'dog']","['head', 'bird', 'elephant', 'face', 'ghost']","['head', 'dog', 'dinosaur', 'face', 'person', 'ghost']",77.41194743485678
e4edd839-0af9-4d09-910c-5f4dbfb7855e,"['kiss', 'gasp', 'touch', 'strain', 'clutch', 'face', 'tip', 'fall', 'spin', 'think', 'twist', 'lick', 'trace', 'serene', 'breathe', 'space', 'loose', 'call', 'chase', 'follow', 'catch', 'bird', 'rhino', 'meet', 'hold', 'swallow', 'devour', 'consume']","['map', 'wolf', 'trap', 'crab', 'dark', 'melt', 'burn', 'cluster', 'drown', 'cover', 'watching', 'noir', 'suspect', 'liquid', 'seep', 'spill', 'stain']","['agony', 'abyss', 'scream', 'hoarse', 'ache', 'noise', 'busy', 'hunted', 'claustrophobia', 'clamour', 'mess', 'discord', 'bleed', 'expire', 'canopy', 'leaves', 'branches', 'reaching', 'escape', 'freedom', 'waste', 'corruption', 'sleep', 'man', 'boot', 'horse', 'cat', 'capybara', 'spin', 'tree', 'island', 'mountain', 'floating', 'eyes', 'monster', 'watching', 'parent', 'child', 'kiss', 'affection', 'family', 'woman', 'overwhelmed', 'buried', 'drowning', 'suffocating', 'boar', 'bear', 'animal', 'woods', 'nature', 'crowd', 'group', 'audience', 'laughter', 'smile', 'comedy', 'enjoy', 'control', 'command', 'order', 'waking', 'rebirth', 'hope', 'light']",80.65943817297618
241357f4-905a-4128-8bf0-38521834992f,"['Colon', 'monster', 'bladder', 'fish', 'head']","['Continent', 'Animal', 'Sea', 'ghost', 'hippo', 'bird', 'face']","['Map', 'man', 'face', 'map', 'explosion']",84.89616388188941
eba0fbef-c5c0-4674-9f76-2e4e4dd8ea5c,"['people', 'smoke', 'map', 'lion', 'person']","['cloud', 'person', 'people', 'anxiety', 'peace']","['person', 'woman', 'people', 'spider', 'frog']",
071b2d14-ae65-4ad8-8422-7b9e677d1761,"['person', 'sheep', 'man', 'head', 'bone', 'snail']","['cow', 'face', 'warthog', 'panther', 'elephant']","['person', 'gorilla']",70.14776127679008
278e529c-5293-4e98-85f4-80ae9f53a8f5,"['australia', 'witch', 'castle', 'islands', 'river']","['genie', 'man', 'pig', 'face', 'person', 'rat']","['women', 'country', 'man', 'polarbear', 'alien', 'person', 'baby', 'harry potter', 'pluto', 'people']",76.42398774623871
71fdc3af-7633-4d44-ac8a-afc546f08a3b,['woman'],"['europe', 'finland', 'woman']","['america', 'man']",80.06094204527992
31f6ccbe-73fa-4477-b22e-cdfd6ce94218,"['buttocks', 'body', 'poodle', 'bosporus', 'lab glassware', 'face', 'boot', 'kissing toads', 'bat', 'dog', 'squirrel', 'tree', 'cat', 'monster', 'man', 'little monster', 'girl', 'puppy', 'woman', 'smoke', 'Mediterranean Sea', 'person', 'india', 'aliens', 'pelvis', 'lionlike thing', 'balloon dog']","['female body', 'spain', 'goblin', 'face', 'dog', 'nothing', 'europe', 'happy dragon']","['europe', 'England', 'the globe', 'ghost', 'Middle East', 'sock monster', 'woman']",86.45763660204553
d6c5d174-043b-4951-9900-f83ced01a757,"['dog', 'water', 'polyp', 'Australasia', 'asteroids', 'cavern', 'Apoptosis', 'Meteorite', 'Potato', 'Nothing']","['pig', 'gargoyle', 'Cyprus', 'Floes', 'ink-blots', 'boredom', 'splat!', 'Isthmus', 'Adventures']","['seahorse', 'Spain', 'peat-bog', 'showers', 'impatience', 'coastline', 'pathology', 'fidget', 'Agglutinins', 'Repetition']",93.36374734217922
04ebbf50-40a2-4506-99d8-e83af09a6582,[],[],[],91.72312533039423
c9a88120-e143-4fd9-9d7a-92d2c58e2426,"['face', 'head']","['map', 'world', 'europe', 'nothing']","['hammer', 'Spain']",77.61104915823255
7c5f994d-f0fe-4921-bafd-95487bbe5f56,"['tears', 'caves', 'egypt', 'bigfoot', 'monkey', 'rhino', 'boot', 'tree', 'man', 'face', 'heart', 'dinosaur', 'acorn', 'angel', 'heaven', 'cave', 'hanging', 'kissing', 'spitting', 'hat', 'shark', 'pear', 'crumble', 'evil', 'nipple', 'animal', 'pulling']","['eel', 'particle', 'hold', 'vibration', 'steel', 'country', 'lake', 'kingdom', 'iceland', 'continent', 'river', 'bay', 'alien', 'lakes', 'underwater', 'fish', 'crab', 'seabed', 'insects', 'ghosts', 'fat men', 'disdain', 'skull', 'crocodile', 'fetus', 'camel', 'dragon', 'jaw', 'sleeping', 'bird']","['shark', 'fish', 'face', 'mouth', 'jaw', 'genitals', 'boots', 'countries', 'parade', 'men', 'robes', 'lemmings', 'cliff', 'climb', 'dinosaurs', 'dagger', 'narwhal', 'animals', 'man', 'rose', 'frankenstein', 'butterfly', 'hands', 'screaming', 'witch']",
f566a3aa-9cf5-4203-b6b8-062d50c4a672,"['sandman', 'man', 'alien', 'kiss']","['map', 'islands', 'face']","['treetop', 'sky', 'dog', 'castle', 'creature']",88.45983947671596
0b113530-e515-4fc6-92bf-7573e9fe4f1e,"['Monster', 'Face', 'Country', 'Island', 'Root', 'people', 'Italy', 'Fish', 'mountain']","['map', 'seahorse', 'Fish', 'Face', 'Tree', 'Kidneys', 'Clouds', 'Sheep', 'HIPPO', 'Bird', 'Silouttes']","['Dog', 'mushroom', 'Man', 'Leaves', 'People', 'Oil', 'Reflection', 'Woman', 'Water', 'Coffee']",
d933005c-2dab-4c3e-a553-6ac8abc18e1e,"['borneo', 'building', 'vulture', 'mouth', 'eyes', 'turtle', 'jump', 'finger', 'spit', 'smirk', 'alligator', 'fall', 'kiss']","['monster', 'hook', 'chin', 'smile', 'grumpy', 'mask', 'mouth', 'heart', 'doughnut', 'fish', 'stupid']","['rabbit', 'hawk', 'snake', 'fart', 'sphincter', 'run', 'cloud', 'plant', 'engine', 'lizard', 'chair', 'balloon']",80.21310174039432
577cea7f-0f05-48c3-905d-035de8ef4406,"['Face', 'faces', 'nothing', 'australia', 'man', 'person', 'head']","['face', 'nothing', 'Face', 'fossil', 'head']","['nothing', 'skeleton', 'face', 'head']",82.7470702074823
f724fd21-bb9a-48ac-a196-b53b7a86ac59,"['woman', 'duck', 'climber', 'rhino', 'cave']","['face', 'elephants', 'child', 'rabbit', 'warrior', 'woman']","['clouds', 'gorrila', 'detective', 'man', 'monster', 'women']",78.78453420430776
f5f70b3e-3145-4a8d-bb6f-aab9bf6719cf,"['Russia', 'Denmark', 'Canada', 'No idea', 'Erection', 'Ink', 'Toast', 'Ape']","['Duck', 'No idea', 'Fairy', 'Ink', 'Chicken']","['Bushes', 'No idea', 'Ink', 'Tophat', 'Witch']",89.61636216512748
e3212751-1560-4351-b10d-d28c5c4f164a,"['skull', 'ghost', 'duck', 'snoopy', 'man', 'dragon', 'dog', 'fish', 'dinosaur', 'animal', 'pipe', 'sunglasses', 'priest', 'woman', 'mary', 'capybara', 'madagascar']","['rabbit', 'boot', 'rat', 'dog', 'man', 'alien', 'bull', 'woman', 'animal', 'girl', 'feet', 'ghost', 'fish', 'dress', 'doga', 'africa', 'goag', 'cyprus', 'wolf']","['ghost', 'frog', 'dragon', 'mushroom', 'girl', 'face', 'robber', 'head', 'hamster', 'skull', 'woman', 'lion', 'man', 'mother', 'dog', 'cat', 'witch', 'smile', 'goat']",93.23273502467643
630997cf-fe19-4be7-9641-9814c1b50579,"['bedpost', 'knuckleduster', 'teapot', 'wolf', 'steamwhistle', 'baby', 'pistol grip', 'sword hilt', 'waveform', 'Who', 'Wutang']","['dorito', 'corkscrew', 'doorstop', 'farmer', 'paper', 'dog']","['canopy', 'pinecone', 'dragon', 'greenland', 'mandelbrot', 'boot print', 'Hebrides', 'eagle', 'acorn']",90.21234703028486
9547fce7-5b1a-4e80-9976-f78678f57e41,"['eye', 'face', 'cross', 'wolf', 'dragon head']","['snout', 'gun']","['face', 'country', 'dirt', 'nose', 'person']",
1ea96648-fee1-42e4-aa27-a20e7944ce69,"['Cross', 'Face', 'A cartoon whale', 'Nothing', 'No idea', 'Dark figure', 'Someone taking a sword into the chest', 'Big island, small island', 'Santa clause']","['Face', 'Man', 'Alien', 'Faces lurking', 'Cloud', 'Yoga woman']","['Cross', 'World', 'Faces', 'Skeleton', 'Man standing', 'Horse', 'Bottom left face of a man,']",79.12633623927832
d6d5f56f-a0e3-42de-afa5-402a98401709,"['granny', 'mother', 'baby', 'hair', 'arms', 'cough', 'hand', 'neck', 'head', 'stoop', 'peninsula', 'strait', 'shore', 'bays', 'headlands', 'clown', 'monkey', 'hat', 'hands', 'eye', 'surprised', 'stare', 'blank', 'nose', 'notice', 'gaze', 'alone', 'scene', 'stomach', 'pancreas', 'pipe', 'intestine', 'gut', 'conversation', 'listening', 'thinking', 'space', 'connection', 'genie', 'chin', 'beard']","['head', 'face', 'ocean', 'islands', 'lights', 'eyes', 'lizard', 'prey', 'ears', 'body', 'mediterranean', 'cyprus', 'crete', 'malta', 'lebannon', 'india', 'australia', 'oceans', 'rotation', 'ghost', 'eye', 'billowing', 'space', 'darkness', 'snake', 'basket', 'bush', 'tongue', 'tail', 'hair', 'scarf', 'shoulders', 'tree', 'sky', 'sardinia', 'corsica', 'teacher', 'bun', 'chin', 'fist', 'arm', 'nose', 'mouse', 'cheese', 'floor']","['europe', 'map', 'sweden', 'denmark', 'france', 'russia', 'britishisles', 'space', 'ship', 'canada', 'plates', 'sand', 'earthquake', 'lava', 'arctic', 'sheep', 'flock', 'dog', 'farmer', 'field', 'iceland', 'greenland', 'mist', 'cloud', 'fog', 'lake', 'islands', 'shore', 'inlets', 'rivers', 'octopus', 'tentacles', 'mouth', 'coral', 'ocean', 'dancer', 'frog', 'bagpipes', 'kilt', 'audience', 'crocodile', 'snout', 'neck', 'swamp', 'stare', 'boxer', 'punch', 'glove', 'shadow', 'moves']",82.81788836632457
9f5c72d8-d50e-4087-b8a2-ff8135449bd8,"['face', 'land', 'island', 'dog', 'witch', 'tree', 'hat', 'poodle', 'man', 'person', 'nose', 'rocks', 'hair', 'neck']","['eyes', 'island', 'tree', 'person', 'boy', 'rat', 'dragon', 'dog', 'face', 'clown', 'mouth', 'llama', 'camel', 'chicken', 'crab']","['witch', 'elephant', 'eye', 'face', 'dog', 'ghost', 'mole', 'person', 'beast', 'fairy', 'antlers', 'hand', 'dragon', 'bird', 'hat', 'butterfly', 'moth', 'couple', 'horse', 'rhino']",88.64134263380298
3c483d64-7e66-45c6-b493-ae06e0a07600,"['wig', 'carpet', 'bees', 'gorilla', 'camp', 'floated', 'sulk', 'kosovo', 'cave', 'possum']","['global', 'eating', 'paddington', 'spider', 'pig', 'argument', 'headless', 'eagle']","['pig', 'mask', 'profile', 'alien', 'witch', 'elephant', 'man', 'dog', 'chicken']",85.82528281147547
edebb8ef-1d06-42b4-a8bf-18be9831acf6,"['Italy', 'dragon', 'mouse', 'sausage', 'tiny islands', 'ghosts', 'alien']","['wierd', 'blots', 'bacteria', 'islands']","['leaves', 'clouds', 'face', 'lady', 'skull', 'ghost']",73.80855065726098
750d59a8-0845-4b01-b414-d3d29b2ffc39,"['Cliff', 'Rock', 'Fetus', 'Dragon', 'Troll']","['Face', 'Sheep', 'Bird', 'Mamals']","['Human', 'Rhino']",80.760017569576
f7b15403-a7f9-487f-8f86-4c45f6d40957,"['river', 'dinosaur', 'witch', 'scorpion', 'lady', 'person', 'map', 'island']","['map', 'face', 'featus']","['Map', 'eyes', 'mouth', 'map', 'dog', 'face']",76.59906113431568
