user_id,fd_level,n_unique_words,spread
f5f70b3e-3145-4a8d-bb6f-aab9bf6719cf,FD16,4,0.8061741335374126
e3212751-1560-4351-b10d-d28c5c4f164a,FD12,17,0.7118874077298729
e3212751-1560-4351-b10d-d28c5c4f164a,FD14,19,0.7216511917314432
e3212751-1560-4351-b10d-d28c5c4f164a,FD16,19,0.6574373412150505
630997cf-fe19-4be7-9641-9814c1b50579,FD12,9,0.7731349248506978
630997cf-fe19-4be7-9641-9814c1b50579,FD14,6,0.7645558644142447
630997cf-fe19-4be7-9641-9814c1b50579,FD16,7,0.7364148950099091
486f14cd-a570-43ae-bfb8-e283610b7c41,FD12,4,0.6458826992372592
486f14cd-a570-43ae-bfb8-e283610b7c41,FD14,3,0.5552835863780091
486f14cd-a570-43ae-bfb8-e283610b7c41,FD16,5,0.7103232624030023
1ea96648-fee1-42e4-aa27-a20e7944ce69,FD14,3,0.7007574563210827
1ea96648-fee1-42e4-aa27-a20e7944ce69,FD16,5,0.6984136628755522
d6d5f56f-a0e3-42de-afa5-402a98401709,FD12,38,0.7292351085551629
d6d5f56f-a0e3-42de-afa5-402a98401709,FD14,45,0.7204049079255437
d6d5f56f-a0e3-42de-afa5-402a98401709,FD16,48,0.7432491377660285
9f5c72d8-d50e-4087-b8a2-ff8135449bd8,FD12,14,0.6896630674451231
9f5c72d8-d50e-4087-b8a2-ff8135449bd8,FD14,15,0.6825427981923032
9f5c72d8-d50e-4087-b8a2-ff8135449bd8,FD16,20,0.6841413093491898
3c483d64-7e66-45c6-b493-ae06e0a07600,FD12,10,0.7377232177507314
3c483d64-7e66-45c6-b493-ae06e0a07600,FD14,8,0.7707485677412109
3c483d64-7e66-45c6-b493-ae06e0a07600,FD16,9,0.7141769943548776
edebb8ef-1d06-42b4-a8bf-18be9831acf6,FD12,6,0.7301595761864532
edebb8ef-1d06-42b4-a8bf-18be9831acf6,FD14,4,0.793854560979997
edebb8ef-1d06-42b4-a8bf-18be9831acf6,FD16,5,0.6566868009995663
750d59a8-0845-4b01-b414-d3d29b2ffc39,FD12,5,0.7582609420697951
750d59a8-0845-4b01-b414-d3d29b2ffc39,FD14,4,0.6868987419943937
f7b15403-a7f9-487f-8f86-4c45f6d40957,FD12,7,0.6860715012073422
f7b15403-a7f9-487f-8f86-4c45f6d40957,FD16,4,0.5311006035241491
88500b05-d503-4530-b455-fdb2ebf2f38c,FD12,10,0.7066464264023037
88500b05-d503-4530-b455-fdb2ebf2f38c,FD14,5,0.7137374416424855
88500b05-d503-4530-b455-fdb2ebf2f38c,FD16,4,0.8116155779036511
20b9f11f-6cde-40db-b25f-31569c7d3fb2,FD12,13,0.670792547396163
20b9f11f-6cde-40db-b25f-31569c7d3fb2,FD14,12,0.6613435175180107
20b9f11f-6cde-40db-b25f-31569c7d3fb2,FD16,10,0.6128057378368716
4678b63d-cbf6-427a-ac69-217cfadadb62,FD12,8,0.6416811400283796
4678b63d-cbf6-427a-ac69-217cfadadb62,FD14,7,0.7007574563210827
4678b63d-cbf6-427a-ac69-217cfadadb62,FD16,5,0.7463430537832939
dded534f-c1fb-481e-8fde-21e556fa3b36,FD12,12,0.7677003439973802
dded534f-c1fb-481e-8fde-21e556fa3b36,FD14,11,0.7771236138728178
dded534f-c1fb-481e-8fde-21e556fa3b36,FD16,19,0.7455297251500499
ed7be611-748e-4d48-ba60-1ff0f49668c7,FD12,9,0.7419074547098754
ed7be611-748e-4d48-ba60-1ff0f49668c7,FD14,10,0.7108873176337321
ed7be611-748e-4d48-ba60-1ff0f49668c7,FD16,10,0.7069790857804188
1ed9a23a-dbe0-48b7-b550-19e7151ea1fb,FD12,5,0.7024406515456615
1ed9a23a-dbe0-48b7-b550-19e7151ea1fb,FD14,3,0.7815782535272258
1ed9a23a-dbe0-48b7-b550-19e7151ea1fb,FD16,3,0.6680759879221925
9ecd3065-6e0d-44c5-929b-dc68e2c3b83e,FD12,9,0.7753015410603057
9ecd3065-6e0d-44c5-929b-dc68e2c3b83e,FD14,4,0.7001810649558464
83b10d70-6cb3-4e25-9706-0550cd5e5ff3,FD12,6,0.7129726374402869
83b10d70-6cb3-4e25-9706-0550cd5e5ff3,FD14,7,0.7559316724968992
83b10d70-6cb3-4e25-9706-0550cd5e5ff3,FD16,8,0.7124590888132198
e12e24ec-6d6c-4f70-9d79-156fd101945f,FD12,5,0.662214815890651
e12e24ec-6d6c-4f70-9d79-156fd101945f,FD14,5,0.6149563941831357
e12e24ec-6d6c-4f70-9d79-156fd101945f,FD16,3,0.6907270909790971
42ce8c82-2f48-4f6c-a135-e391813359d2,FD12,6,0.7560924601095511
42ce8c82-2f48-4f6c-a135-e391813359d2,FD14,3,0.727774633660089
42ce8c82-2f48-4f6c-a135-e391813359d2,FD16,5,0.7543198724505474
7562e7ad-db5c-4fa7-a6fa-2b47d08ff3a4,FD12,40,0.7107923469778701
7562e7ad-db5c-4fa7-a6fa-2b47d08ff3a4,FD14,40,0.738838470103848
7562e7ad-db5c-4fa7-a6fa-2b47d08ff3a4,FD16,32,0.6938439531700703
4232f7a3-388c-4d0f-8b8e-8f7a9a80edd4,FD14,3,0.7645825947109623
64a3b852-4d9b-4ce7-9104-c08d9c02d82a,FD12,15,0.7449178856727814
64a3b852-4d9b-4ce7-9104-c08d9c02d82a,FD14,21,0.7501622915494546
64a3b852-4d9b-4ce7-9104-c08d9c02d82a,FD16,27,0.7394004731975072
8bfeab6f-7db4-4403-a3f0-05e74f9e2d63,FD12,16,0.6791755203822138
8bfeab6f-7db4-4403-a3f0-05e74f9e2d63,FD14,15,0.7306038471486263
8bfeab6f-7db4-4403-a3f0-05e74f9e2d63,FD16,17,0.7312194159040577
8004cbff-0c95-4254-a296-cc07955ab290,FD12,12,0.7416814128991671
8004cbff-0c95-4254-a296-cc07955ab290,FD14,11,0.7096415236742097
8004cbff-0c95-4254-a296-cc07955ab290,FD16,8,0.7393019957723146
2226b9d0-3526-45c9-b102-74365b7546ab,FD12,31,0.7251665523450387
2226b9d0-3526-45c9-b102-74365b7546ab,FD14,30,0.7274561068624921
2226b9d0-3526-45c9-b102-74365b7546ab,FD16,31,0.7297324623294978
1fe3b4e3-e38b-42d2-b7a3-802830637736,FD12,9,0.7004920831690976
1fe3b4e3-e38b-42d2-b7a3-802830637736,FD14,7,0.6883478176066911
1fe3b4e3-e38b-42d2-b7a3-802830637736,FD16,5,0.6627327699315904
14bda0a9-64ad-4db3-b507-ad43170f645b,FD12,3,0.6623476573573968
14bda0a9-64ad-4db3-b507-ad43170f645b,FD14,3,0.6059389772317069
a61bbec2-3d2e-4ed5-aab2-007473c02c6a,FD12,42,0.7275816040283037
a61bbec2-3d2e-4ed5-aab2-007473c02c6a,FD14,43,0.7276017529034959
a61bbec2-3d2e-4ed5-aab2-007473c02c6a,FD16,39,0.7344422363734863
2cd64601-57a4-463d-b77e-dab65807ca0e,FD12,18,0.6908927288701417
2cd64601-57a4-463d-b77e-dab65807ca0e,FD14,16,0.6854920698465474
2cd64601-57a4-463d-b77e-dab65807ca0e,FD16,12,0.73908401457475
d7439127-ecc6-450e-bd40-1f6bd0888b22,FD12,7,0.7523254935746617
d7439127-ecc6-450e-bd40-1f6bd0888b22,FD14,4,0.7781043457678967
d7439127-ecc6-450e-bd40-1f6bd0888b22,FD16,3,0.714400076782691
27f8b5fc-c808-412b-af2a-da5ae9a08ca6,FD12,24,0.7806799130897117
27f8b5fc-c808-412b-af2a-da5ae9a08ca6,FD14,30,0.7487476285964771
27f8b5fc-c808-412b-af2a-da5ae9a08ca6,FD16,22,0.750986317002068
e8d271c2-2ae7-49b0-8d1b-5366d3981851,FD12,12,0.7117715690214039
e8d271c2-2ae7-49b0-8d1b-5366d3981851,FD14,15,0.7631080307446702
e8d271c2-2ae7-49b0-8d1b-5366d3981851,FD16,17,0.7633651478032348
5b7f788d-380b-4d24-8185-cd6b192d5eb3,FD12,37,0.7523875722032566
5b7f788d-380b-4d24-8185-cd6b192d5eb3,FD14,30,0.7382554848695242
5b7f788d-380b-4d24-8185-cd6b192d5eb3,FD16,31,0.7098763692225907
