,raw_rate_FD12,raw_rate_FD14,raw_rate_FD16,z_FD12,z_FD14,z_FD16,preferred_fd
face / body part,0.134236625226987,0.10618692408951294,0.09943977591036414,1.3903795336709102,-0.47128495413331517,-0.919094579537595,1.4557718352566977
person / people,0.12320156446431066,0.11379259909316952,0.08652349828820417,0.9876618980901455,0.38274921752410745,-1.3704111156142529,1.454360169937889
animal,0.1375890487498254,0.18180488518356003,0.1792717086834734,-1.4123722237543008,0.7686631332085968,0.6437090905457014,1.4940093334434907
mythical creature,0.03156865484006146,0.05353225098727512,0.059601618425147836,-1.383951536045812,0.4399671168243377,0.9439844192214736,1.516144583664014
plant,0.007682637239837966,0.009799619716249817,0.021164021164021163,-0.8783400671999907,-0.520719823610536,1.3990598908105276,1.5448395271123585
place / landscape,0.10336639195418354,0.08995173321632295,0.07391845627139745,1.1868786792245392,0.07251035923055026,-1.259389038455094,1.4546931417466882
object / symbol,0.03855287051264143,0.03846716396080152,0.03221288515406162,0.7214924407280662,0.6926224154597715,-1.4141148561878354,1.4654349495170467
abstract / texture,0.01159379801648275,0.014187509141436303,0.029878618113912233,-0.8615488660314301,-0.5404617855205363,1.402010651551966,1.5407998471623705
