metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,partial_r,partial_p
centroid_mean,489,0.056547206574226724,0.2119407659471408,0.06695242341713459,0.13929749034509153,0.05167231266312684,0.2550625897694106
centroid_median,488,0.05915666672735133,0.19202742191455666,0.07190809394324825,0.1126299459533213,0.06511463119833143,0.15177110633182675
pairwise_mean,493,-0.020578300404613576,0.6485332049365344,-0.009429251967951191,0.8345758356733207,0.0193046450153123,0.6695892259623475
pairwise_median,493,-0.05301975543885627,0.2399675550532664,-0.03594643135011671,0.42581604978078047,-0.008110704099558393,0.8577287870409656
pairwise_90th,490,-0.04703834632497221,0.29873306513334597,-0.04330235167069445,0.33879998502317676,-0.01941152264413914,0.6688293838727593
