url,fd_level,n_words,n_users,vocab_entropy,modal_share,mean_pair_sim,top_word,top_word_n
images/FD12/FD_12_0.png,FD12,82,32,6.018839352047142,0.036585365853658534,0.28489257007837293,hand,3
images/FD12/FD_12_1.png,FD12,67,31,5.722513817194281,0.04477611940298507,0.2930200364999473,cave,3
images/FD12/FD_12_10.png,FD12,74,37,5.707839642942954,0.06756756756756757,0.2843948650918901,man,5
images/FD12/FD_12_11.png,FD12,66,29,5.790532187507492,0.045454545454545456,0.2882676348090172,mushroom,3
images/FD12/FD_12_12.png,FD12,64,38,5.445159765557392,0.09375,0.29315353352576495,elephant,6
images/FD12/FD_12_13.png,FD12,83,36,5.961008973797525,0.060240963855421686,0.27365787839517,snake,5
images/FD12/FD_12_14.png,FD12,76,42,5.80221300053665,0.06578947368421052,0.28136579690501096,woman,5
images/FD12/FD_12_15.png,FD12,61,34,5.274999632644851,0.13114754098360656,0.33381380803883076,dog,8
images/FD12/FD_12_16.png,FD12,53,29,5.449526350748794,0.05660377358490566,0.27665435837581753,man,3
images/FD12/FD_12_17.png,FD12,82,39,5.808533102073526,0.04878048780487805,0.2879646988213062,dinosaur,4
images/FD12/FD_12_18.png,FD12,70,33,5.5432894453927695,0.05714285714285714,0.30682635851204393,duck,4
images/FD12/FD_12_19.png,FD12,74,42,5.718040825404622,0.06756756756756757,0.28010851437225937,woman,5
images/FD12/FD_12_2.png,FD12,58,29,5.2500305653199835,0.1206896551724138,0.3055853293463588,kiss,7
images/FD12/FD_12_20.png,FD12,63,38,5.647837264735418,0.06349206349206349,0.2668418297264725,bat,4
images/FD12/FD_12_21.png,FD12,68,38,5.652026951920387,0.07352941176470588,0.2872080996260047,man,5
images/FD12/FD_12_22.png,FD12,52,28,5.056020968057884,0.11538461538461539,0.2751113487035036,man,6
images/FD12/FD_12_23.png,FD12,82,38,5.904876206096576,0.06097560975609756,0.3048908568173647,face,5
images/FD12/FD_12_24.png,FD12,69,31,5.38570847154734,0.07246376811594203,0.3248955424875021,face,5
images/FD12/FD_12_25.png,FD12,86,41,6.120861702301048,0.03488372093023256,0.27576691753230986,spitting,3
images/FD12/FD_12_26.png,FD12,65,30,5.7953695437644,0.046153846153846156,0.25351766956970095,tree,3
images/FD12/FD_12_27.png,FD12,79,37,5.980872203818535,0.05063291139240506,0.28394291991367937,man,4
images/FD12/FD_12_28.png,FD12,53,33,5.284339794104199,0.07547169811320754,0.3041605199873447,face,4
images/FD12/FD_12_29.png,FD12,85,46,5.603163583043809,0.1411764705882353,0.28267735466361044,woman,12
images/FD12/FD_12_3.png,FD12,56,30,5.235926350629033,0.07142857142857142,0.29792290295474233,man,4
images/FD12/FD_12_30.png,FD12,95,49,5.462894982449578,0.08421052631578947,0.3435346920415759,bear,8
images/FD12/FD_12_31.png,FD12,66,36,5.372204301531176,0.07575757575757576,0.3275753066688776,face,5
images/FD12/FD_12_32.png,FD12,65,35,5.277654398312045,0.1076923076923077,0.2835740737896413,grenade,7
images/FD12/FD_12_33.png,FD12,74,38,5.48804690636876,0.06756756756756757,0.2938120390661061,dog,5
images/FD12/FD_12_34.png,FD12,101,47,6.014709319784557,0.04950495049504951,0.31057969633489846,fish,5
images/FD12/FD_12_35.png,FD12,74,43,5.540402352056963,0.10810810810810811,0.29265980343334375,alien,8
images/FD12/FD_12_36.png,FD12,71,33,5.732709929723883,0.07042253521126761,0.2794560094736516,vase,5
images/FD12/FD_12_37.png,FD12,75,32,5.978753523800368,0.04,0.25757600251585244,head,3
images/FD12/FD_12_38.png,FD12,63,33,5.6598196060395995,0.06349206349206349,0.2634874433092773,lake,4
images/FD12/FD_12_39.png,FD12,56,28,5.458966082694625,0.05357142857142857,0.3004482465982437,face,3
images/FD12/FD_12_4.png,FD12,54,34,5.1257362345516695,0.09259259259259259,0.31587269227951764,penis,5
images/FD12/FD_12_40.png,FD12,81,38,6.073064318015037,0.06172839506172839,0.26405338538810613,face,5
images/FD12/FD_12_41.png,FD12,76,38,5.964904158123495,0.039473684210526314,0.24917880312539636,face,3
