metric,n_post,post_pearson_r,post_pearson_p,post_spearman_rho,post_spearman_p,post_partial_r,post_partial_p,n_delta,delta_pearson_r,delta_pearson_p,delta_spearman_rho,delta_spearman_p,delta_partial_r,delta_partial_p
centroid_mean,490,0.05433165748046466,0.22994610813309566,0.04250185682339345,0.3478128396556186,0.06538079286160486,0.1492605273563182,489,0.056547206574226724,0.2119407659471408,0.06695242341713459,0.13929749034509153,0.05167231266312684,0.2550625897694106
centroid_median,489,0.07016373362364865,0.1212629929867265,0.05816901384239693,0.19910453968181627,0.07918285435384,0.0808692461176421,488,0.05915666672735133,0.19202742191455666,0.07190809394324825,0.1126299459533213,0.06511463119833143,0.15177110633182675
pairwise_mean,494,0.03836769875455133,0.39481504808847345,0.029150296001468637,0.518024385464549,0.03396522968797458,0.4522400243898374,493,-0.020578300404613576,0.6485332049365344,-0.009429251967951191,0.8345758356733207,0.0193046450153123,0.6695892259623475
pairwise_median,494,0.019906842655848613,0.6589418565151163,0.01426293858222588,0.7518335144011262,0.011554878627772797,0.7982163098495612,493,-0.05301975543885627,0.2399675550532664,-0.03594643135011671,0.42581604978078047,-0.008110704099558393,0.8577287870409656
pairwise_90th,491,-0.0034050949033081306,0.9400080308308826,-0.014637492146782763,0.7462895007209979,-0.007871274148801666,0.8621661389669,490,-0.04703834632497221,0.29873306513334597,-0.04330235167069445,0.33879998502317676,-0.01941152264413914,0.6688293838727593
