metric,n_subjects,pearson_r,pearson_p
n_fixations,227,0.06635183301678513,0.31960520710401774
mean_fix_dur_ms,213,-0.003565944046673389,0.9587381291089375
scanpath_length_norm,218,-0.05750583628351949,0.398176978645765
gaze_entropy,226,-0.028317101383399858,0.6719861120683451
gini_gaze,226,0.04662736239680729,0.4855177728362063
recurrence_rate,198,-0.010806037542131504,0.8798999109800868
