metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
mean_n_words,506,-0.06736995302469104,0.13017263588342065,-0.10690396468273347,0.016141716186456392
mean_rt,193,-0.046854510369248675,0.517599121496102,-0.0142219966882111,0.8443716526555325
