url,tertile,fd_level,n_words,n_users,vocab_entropy,modal_share,mean_pair_sim
images/FD12/FD_12_0.png,Low,FD12,35,13,4.879143374026009,0.08571428571428572,0.2963326683888833
images/FD12/FD_12_0.png,Mid,FD12,32,11,4.875,0.0625,0.28492630330224833
images/FD12/FD_12_0.png,High,FD12,15,8,3.773557262275185,0.13333333333333333,0.22295123063027858
images/FD12/FD_12_1.png,Low,FD12,39,16,5.182838116298146,0.05128205128205128,0.2716138578454653
images/FD12/FD_12_1.png,Mid,FD12,20,9,4.321928094887363,0.05,0.2872464853525162
images/FD12/FD_12_1.png,High,FD12,8,6,2.75,0.25,0.3148800943295161
images/FD12/FD_12_10.png,Low,FD12,28,14,4.494680368408909,0.10714285714285714,0.285250218162934
images/FD12/FD_12_10.png,Mid,FD12,28,10,4.807354922057606,0.03571428571428571,0.27002102178831894
images/FD12/FD_12_10.png,High,FD12,18,13,4.058813890331201,0.1111111111111111,0.29935657779375713
images/FD12/FD_12_11.png,Low,FD12,27,12,4.606739354015321,0.07407407407407407,0.2923291340967019
images/FD12/FD_12_11.png,Mid,FD12,28,10,4.807354922057606,0.03571428571428571,0.27212964015702407
images/FD12/FD_12_11.png,High,FD12,11,7,3.4594316186372978,0.09090909090909091,0.254650010963281
images/FD12/FD_12_12.png,Low,FD12,19,15,4.037401197654112,0.10526315789473684,0.28415268018841744
images/FD12/FD_12_12.png,Mid,FD12,26,12,4.469670487371861,0.07692307692307693,0.286975256378452
images/FD12/FD_12_12.png,High,FD12,19,11,4.037401197654112,0.10526315789473684,0.31652356902758283
images/FD12/FD_12_13.png,Low,FD12,51,21,5.461545194870252,0.058823529411764705,0.28570134525497753
images/FD12/FD_12_13.png,Mid,FD12,12,7,3.584962500721156,0.08333333333333333,0.27156329279144603
images/FD12/FD_12_13.png,High,FD12,20,8,4.221928094887363,0.1,0.27442219272255897
images/FD12/FD_12_14.png,Low,FD12,28,14,4.735926350629035,0.07142857142857142,0.2506421299278736
images/FD12/FD_12_14.png,Mid,FD12,23,15,4.2626923908396215,0.08695652173913043,0.2822945996373892
images/FD12/FD_12_14.png,High,FD12,25,13,4.563856189774725,0.08,0.29872401187817255
images/FD12/FD_12_15.png,Low,FD12,18,11,4.058813890331201,0.1111111111111111,0.35118648275732994
images/FD12/FD_12_15.png,Mid,FD12,20,11,4.021928094887363,0.1,0.35550817479689917
images/FD12/FD_12_15.png,High,FD12,23,12,4.088779347361361,0.17391304347826086,0.3575082840025425
images/FD12/FD_12_16.png,Low,FD12,21,10,4.392317422778761,0.047619047619047616,0.26325166833897434
images/FD12/FD_12_16.png,Mid,FD12,16,10,3.875,0.125,0.2901541410386562
images/FD12/FD_12_16.png,High,FD12,16,9,3.875,0.125,0.29211462115248044
images/FD12/FD_12_17.png,Low,FD12,19,11,4.142664355548848,0.10526315789473684,0.29371016584336757
images/FD12/FD_12_17.png,Mid,FD12,33,13,4.923181998146335,0.06060606060606061,0.2611792997519175
images/FD12/FD_12_17.png,High,FD12,30,15,4.7068905956085185,0.06666666666666667,0.29507615968585016
images/FD12/FD_12_18.png,Low,FD12,15,9,3.906890595608518,0.06666666666666667,0.2996022499104341
images/FD12/FD_12_18.png,Mid,FD12,21,10,4.011365041826379,0.09523809523809523,0.33646010932823023
images/FD12/FD_12_18.png,High,FD12,34,14,4.771142620598472,0.08823529411764706,0.31720279857516287
images/FD12/FD_12_19.png,Low,FD12,20,14,3.984183719779189,0.15,0.33394109229246777
images/FD12/FD_12_19.png,Mid,FD12,19,9,4.037401197654112,0.10526315789473684,0.2664226049929857
images/FD12/FD_12_19.png,High,FD12,35,19,4.800432302535624,0.08571428571428572,0.2637445645686239
images/FD12/FD_12_2.png,Low,FD12,25,11,3.859470570797252,0.2,0.3560322378575802
images/FD12/FD_12_2.png,Mid,FD12,16,8,3.875,0.125,0.28102331106861433
images/FD12/FD_12_2.png,High,FD12,17,10,4.087462841250339,0.058823529411764705,0.26449087748924893
images/FD12/FD_12_20.png,Low,FD12,24,13,4.501629167387822,0.08333333333333333,0.24558888480067254
images/FD12/FD_12_20.png,Mid,FD12,16,12,3.875,0.125,0.30683628474672636
images/FD12/FD_12_20.png,High,FD12,23,13,4.349648912578752,0.08695652173913043,0.27561559369166694
images/FD12/FD_12_21.png,Low,FD12,27,15,4.208410187268526,0.14814814814814814,0.3072330976029237
images/FD12/FD_12_21.png,Mid,FD12,15,8,3.773557262275185,0.13333333333333333,0.29586824561158814
images/FD12/FD_12_21.png,High,FD12,26,15,4.700439718141092,0.038461538461538464,0.2689202193915844
images/FD12/FD_12_22.png,Low,FD12,19,9,3.4713544870139286,0.21052631578947367,0.354157965729634
images/FD12/FD_12_22.png,Mid,FD12,16,8,3.875,0.125,0.2579825302461783
images/FD12/FD_12_22.png,High,FD12,17,11,3.9698157824268097,0.11764705882352941,0.2496356624364853
images/FD12/FD_12_23.png,Low,FD12,28,15,4.423251796980338,0.10714285714285714,0.3179450509448846
images/FD12/FD_12_23.png,Mid,FD12,28,13,4.735926350629035,0.07142857142857142,0.2798445369054874
images/FD12/FD_12_23.png,High,FD12,26,10,4.623516641218015,0.07692307692307693,0.2838760973016421
images/FD12/FD_12_24.png,Low,FD12,26,11,4.440636352673266,0.11538461538461539,0.3243520900358756
images/FD12/FD_12_24.png,Mid,FD12,18,9,4.169925001442312,0.05555555555555555,0.26876466058194637
images/FD12/FD_12_24.png,High,FD12,25,11,4.213660689688186,0.12,0.35577563812335333
images/FD12/FD_12_25.png,Low,FD12,24,14,4.584962500721156,0.041666666666666664,0.2875700403749943
images/FD12/FD_12_25.png,Mid,FD12,35,14,4.843568731230679,0.05714285714285714,0.27399292959521215
images/FD12/FD_12_25.png,High,FD12,27,13,4.680813428089396,0.07407407407407407,0.2622549327959617
images/FD12/FD_12_26.png,Low,FD12,34,14,5.028639311838575,0.058823529411764705,0.253524570936958
images/FD12/FD_12_26.png,Mid,FD12,16,8,4.0,0.0625,0.24881953693926334
images/FD12/FD_12_26.png,High,FD12,15,8,3.6402239289418516,0.13333333333333333,0.271956252604723
images/FD12/FD_12_27.png,Low,FD12,30,12,4.906890595608519,0.03333333333333333,0.2750712479899327
images/FD12/FD_12_27.png,Mid,FD12,22,12,4.368522527728206,0.09090909090909091,0.27611568505565326
images/FD12/FD_12_27.png,High,FD12,27,13,4.532665279941247,0.07407407407407407,0.3002542589108149
images/FD12/FD_12_28.png,Low,FD12,24,14,4.334962500721156,0.08333333333333333,0.2956310914705197
images/FD12/FD_12_28.png,Mid,FD12,5,3,2.321928094887362,0.2,0.317807291050752
images/FD12/FD_12_28.png,High,FD12,24,16,4.584962500721156,0.041666666666666664,0.28874356207748253
images/FD12/FD_12_29.png,Low,FD12,35,18,4.4004323025356245,0.17142857142857143,0.32117618903517725
images/FD12/FD_12_29.png,Mid,FD12,27,12,4.680813428089396,0.07407407407407407,0.25923225792745747
images/FD12/FD_12_29.png,High,FD12,23,16,4.018794978907586,0.21739130434782608,0.2880690453077356
images/FD12/FD_12_3.png,Low,FD12,9,5,3.169925001442312,0.1111111111111111,0.31947687645753226
images/FD12/FD_12_3.png,Mid,FD12,25,13,4.373660689688185,0.12,0.2752403307085236
images/FD12/FD_12_3.png,High,FD12,22,12,4.368522527728206,0.09090909090909091,0.2890434786925713
images/FD12/FD_12_30.png,Low,FD12,46,22,4.526294499949899,0.13043478260869565,0.40687739104032516
images/FD12/FD_12_30.png,Mid,FD12,15,8,3.773557262275185,0.13333333333333333,0.33662327329317726
images/FD12/FD_12_30.png,High,FD12,34,19,4.675698135367986,0.11764705882352941,0.2988862205296755
images/FD12/FD_12_31.png,Low,FD12,21,11,4.070656113151928,0.14285714285714285,0.3470336310068766
images/FD12/FD_12_31.png,Mid,FD12,19,11,4.247927513443585,0.05263157894736842,0.3310634125272433
images/FD12/FD_12_31.png,High,FD12,26,14,4.440636352673266,0.11538461538461539,0.27643816073735555
images/FD12/FD_12_32.png,Low,FD12,16,10,3.875,0.125,0.25725469753146174
images/FD12/FD_12_32.png,Mid,FD12,28,12,4.423251796980338,0.10714285714285714,0.27787047773599627
images/FD12/FD_12_32.png,High,FD12,21,13,4.165894208390024,0.14285714285714285,0.288085007344683
images/FD12/FD_12_33.png,Low,FD12,23,11,4.349648912578752,0.08695652173913043,0.31096950168410936
images/FD12/FD_12_33.png,Mid,FD12,29,13,4.720049960644812,0.06896551724137931,0.26696908205747605
images/FD12/FD_12_33.png,High,FD12,22,14,3.8453509366224363,0.13636363636363635,0.33903940682609873
images/FD12/FD_12_34.png,Low,FD12,44,20,5.089780198035241,0.06818181818181818,0.2943473393966754
images/FD12/FD_12_34.png,Mid,FD12,29,14,4.513153408920675,0.06896551724137931,0.3266596108178298
images/FD12/FD_12_34.png,High,FD12,28,13,4.735926350629035,0.07142857142857142,0.2713048338641723
images/FD12/FD_12_35.png,Low,FD12,28,16,4.494680368408909,0.10714285714285714,0.2950921642283599
images/FD12/FD_12_35.png,Mid,FD12,29,15,4.651084443403433,0.06896551724137931,0.3002558116118113
images/FD12/FD_12_35.png,High,FD12,17,12,3.8077635764171944,0.17647058823529413,0.2837175543109576
