url_stimulus,fd_level,n,n_h,n_a,bias
images/FD12/FD_12_82.png,FD12,123,21,65,0.5116279069767442
images/FD12/FD_12_83.png,FD12,89,31,20,-0.21568627450980393
images/FD12/FD_12_84.png,FD12,75,13,20,0.21212121212121213
images/FD12/FD_12_85.png,FD12,100,32,24,-0.14285714285714285
images/FD12/FD_12_86.png,FD12,87,26,9,-0.4857142857142857
images/FD12/FD_12_87.png,FD12,101,42,18,-0.4
images/FD12/FD_12_88.png,FD12,111,19,44,0.3968253968253968
images/FD12/FD_12_89.png,FD12,102,40,18,-0.3793103448275862
images/FD12/FD_12_9.png,FD12,105,45,18,-0.42857142857142855
images/FD12/FD_12_90.png,FD12,74,34,14,-0.4166666666666667
images/FD12/FD_12_91.png,FD12,98,40,12,-0.5384615384615384
images/FD12/FD_12_92.png,FD12,110,24,27,0.058823529411764705
images/FD12/FD_12_93.png,FD12,116,23,29,0.11538461538461539
images/FD12/FD_12_94.png,FD12,96,27,16,-0.2558139534883721
images/FD12/FD_12_95.png,FD12,102,23,23,0.0
images/FD12/FD_12_96.png,FD12,112,48,24,-0.3333333333333333
images/FD12/FD_12_97.png,FD12,130,36,53,0.19101123595505617
images/FD12/FD_12_98.png,FD12,102,34,18,-0.3076923076923077
images/FD12/FD_12_99.png,FD12,69,10,27,0.4594594594594595
images/FD14/FD_14_0.png,FD14,75,25,21,-0.08695652173913043
images/FD14/FD_14_1.png,FD14,109,26,31,0.08771929824561403
images/FD14/FD_14_10.png,FD14,103,50,15,-0.5384615384615384
images/FD14/FD_14_11.png,FD14,102,29,26,-0.05454545454545454
images/FD14/FD_14_12.png,FD14,129,39,31,-0.11428571428571428
images/FD14/FD_14_13.png,FD14,113,47,18,-0.4461538461538462
images/FD14/FD_14_14.png,FD14,77,25,16,-0.21951219512195122
images/FD14/FD_14_15.png,FD14,84,13,35,0.4583333333333333
images/FD14/FD_14_16.png,FD14,85,24,24,0.0
images/FD14/FD_14_17.png,FD14,107,28,27,-0.01818181818181818
images/FD14/FD_14_18.png,FD14,116,35,42,0.09090909090909091
images/FD14/FD_14_19.png,FD14,88,30,17,-0.2765957446808511
images/FD14/FD_14_2.png,FD14,81,21,9,-0.4
images/FD14/FD_14_20.png,FD14,87,32,19,-0.2549019607843137
images/FD14/FD_14_21.png,FD14,65,16,25,0.21951219512195122
images/FD14/FD_14_22.png,FD14,95,39,15,-0.4444444444444444
images/FD14/FD_14_23.png,FD14,80,29,18,-0.23404255319148937
images/FD14/FD_14_24.png,FD14,93,19,31,0.24
images/FD14/FD_14_25.png,FD14,93,20,37,0.2982456140350877
images/FD14/FD_14_26.png,FD14,115,30,26,-0.07142857142857142
images/FD14/FD_14_27.png,FD14,60,18,15,-0.09090909090909091
images/FD14/FD_14_28.png,FD14,93,25,32,0.12280701754385964
images/FD14/FD_14_29.png,FD14,93,27,20,-0.14893617021276595
images/FD14/FD_14_3.png,FD14,66,24,8,-0.5
images/FD14/FD_14_30.png,FD14,78,29,17,-0.2608695652173913
images/FD14/FD_14_31.png,FD14,82,21,10,-0.3548387096774194
