image_url,fd_level,n_trials,n_pareidolia,mean_n_words,unique_first,pareidolia_rate,word_diversity,agreement,mean,std,skewness,kurtosis,spectral_slope,spectral_residual,power_low,power_mid,power_high,edge_mean,edge_std,local_contrast_mean,local_contrast_std,n_components,largest_component,mean_component_size,component_size_std,pixel_entropy,lr_symmetry,tb_symmetry,grad_symmetry_lr,coarse_symmetry_lr,fourier_symmetry_lr
stimuli/FD12/FD_12_82.png,FD12,40,38,2.1,30,0.95,0.75,0.10526315789473684,0.551396369934082,0.49735139806539097,-0.20668030746070012,-1.9572832505079498,2.689511349130823,0.1990359957966266,0.999974580461097,1.9458041730187054e-05,5.9614971726700445e-06,0.030633429324773174,0.3313354510802757,0.02223048637563395,0.09152004650785299,18,0.4030427932739258,0.03063313166300456,0.09641384865406065,0.6878548080504334,0.6104610395232761,0.3253165988782046,0.9999982982662639,0.6144387805051935,0.6822700869669908
stimuli/FD12/FD_12_49.png,FD12,45,42,1.7333333333333334,30,0.9333333333333333,0.6666666666666666,0.11904761904761904,0.3373870849609375,0.4728181890140212,0.6878454290354735,-1.5268686657550052,2.7153523197757607,0.18992321515321495,0.9999686428244303,2.4204031090746223e-05,7.153144478978552e-06,0.03165485172093352,0.3370729581303728,0.023619596329598484,0.09406102234644098,10,0.21152591705322266,0.03373870849609375,0.0673755823942553,0.6392872600570892,0.45862360230033705,0.5105406587263125,0.9999965900351192,0.4628146893149008,0.8685789274081143
stimuli/FD14/FD_14_34.png,FD14,44,41,1.7727272727272727,25,0.9318181818181818,0.5681818181818182,0.2682926829268293,0.43971729278564453,0.496352692357872,0.2429027106833599,-1.9409982731426758,2.5704386377375084,0.19004789475978476,0.9998946598155365,7.97372318166361e-05,2.560295264696434e-05,0.08391435423042823,0.5359649806655222,0.054055815005755764,0.13542615874374914,139,0.22699451446533203,0.0031634337610478023,0.021917555090386308,0.6858616045203233,0.24717029882272037,-0.05434414519151807,0.9999995175970949,0.2523059781111208,0.5429180161169576
stimuli/FD12/FD_12_88.png,FD12,40,37,1.95,25,0.925,0.625,0.13513513513513514,0.6551113128662109,0.47533196886062734,-0.6526441435782802,-1.574055621852973,2.7106329951266996,0.19346402641057753,0.9999653296660471,2.6658704423580618e-05,8.011629529239866e-06,0.03372454202165419,0.3477377225347184,0.025134492252701677,0.09681183191408503,10,0.6550827026367188,0.06551113128662109,0.19652385713845041,0.6442251316775317,0.27791843750660844,0.39267294451109164,0.9999975497795092,0.28246692745080687,0.8004856055714994
stimuli/FD12/FD_12_52.png,FD12,36,33,1.9444444444444444,24,0.9166666666666666,0.6666666666666666,0.18181818181818182,0.48786258697509766,0.4998526614964283,0.04856396278281702,-1.997641541518829,2.69857148144333,0.1970513247104031,0.9999743289302313,1.964740578739767e-05,6.023663981145231e-06,0.0312291850358309,0.33466522409827376,0.02281361519945755,0.09256347420225261,14,0.4083242416381836,0.0348473276410784,0.10555637569453337,0.6928526626916381,0.23802437890377715,0.6139648494454665,0.9999993253151871,0.24041751942464443,0.8890966517111872
stimuli/FD12/FD_12_7.png,FD12,35,32,1.8,27,0.9142857142857143,0.7714285714285715,0.09375,0.3507814407348633,0.4772146493673857,0.6253729195570451,-1.6089087114846965,2.7301178156413997,0.20044019101401897,0.9999718087952829,2.1709573627599365e-05,6.4816310894956036e-06,0.030251122227998282,0.3310192761841964,0.023053880142771398,0.09310429148577323,3,0.21537303924560547,0.1169271469116211,0.0888910379882382,0.6479291848231208,0.2842322624362471,0.5787106303020114,0.9999961796024138,0.2856350628010148,0.8722081469350389
stimuli/FD12/FD_12_97.png,FD12,44,40,2.1136363636363638,35,0.9090909090909091,0.7954545454545454,0.05,0.6033811569213867,0.4891956013637036,-0.4226577533943343,-1.8213604234956542,2.713678392238286,0.20068968362629822,0.9999742290132049,1.9752772765776353e-05,6.018214029196772e-06,0.02941496738515533,0.3252007814688473,0.022097776375272164,0.09117099610829991,17,0.5979557037353516,0.03549300923066981,0.14061804333331485,0.6716170309374998,0.34047434935627063,0.5620031950946218,0.9999990658527246,0.34490085510705254,0.9142588527794042
stimuli/FD14/FD_14_33.png,FD14,33,30,1.9393939393939394,28,0.9090909090909091,0.8484848484848485,0.06666666666666667,0.44455718994140625,0.4969165873794179,0.22314735095071678,-1.9502052597636779,2.558571504018746,0.1914243321006087,0.9998912052274223,8.213797665053405e-05,2.6656795927280667e-05,0.0837983263966478,0.5357731354782098,0.05309503129681204,0.13448091324726935,147,0.220184326171875,0.0030241985710299747,0.021274085872656886,0.6869868539908888,0.3463586382653038,0.0006263981896850391,0.9999998986270038,0.35242871935170045,0.7345615807279412
stimuli/FD12/FD_12_30.png,FD12,54,49,1.7592592592592593,29,0.9074074074074074,0.5370370370370371,0.14285714285714285,0.6920385360717773,0.4616505178849133,-0.8319649979019478,-1.3078342422660127,2.6647490460926377,0.18960597038269664,0.9999662532243807,2.5830901187954083e-05,7.915874431559992e-06,0.032814909439246476,0.341264756262541,0.023273836950394998,0.09299714063007856,13,0.6919651031494141,0.05323373354398287,0.18438586424006606,0.6174600118008786,0.37182452716078607,0.5105303924126681,0.9999955334834792,0.37438714268461554,0.8950181373695576
stimuli/FD12/FD_12_89.png,FD12,49,44,1.4489795918367347,34,0.8979591836734694,0.6938775510204082,0.11363636363636363,0.5145397186279297,0.49978855187190974,-0.05818348008761935,-1.9966146826448938,2.723308877257328,0.19246672547729216,0.999974439257089,1.9651011870915897e-05,5.909731040173013e-06,0.030804818156923108,0.33291611128470233,0.023302140739079456,0.09331615526429861,10,0.4991579055786133,0.05145397186279297,0.14929522635459147,0.692724458781235,0.32848368029415875,0.5796300764847853,0.9999970160084171,0.3311753496795606,0.8993711121672358
